Naam,Ploeg,Prijs
Jhonatan Narvaez,UAE Team Emirates,7
Adam Yates,UAE Team Emirates,10
Florian Vermeersch,UAE Team Emirates,4
Jan Christen,UAE Team Emirates,5
Antonio Morgado,UAE Team Emirates,6
Igor Arrieta,UAE Team Emirates,4
Joao Almeida,UAE Team Emirates,9
Jay Vine,UAE Team Emirates,6
Timo Kielich,Team Visma | Lease a Bike,5
Sepp Kuss,Team Visma | Lease a Bike,9
Victor Campenaerts,Team Visma | Lease a Bike,6
Davide Piganzoli,Team Visma | Lease a Bike,5
Jonas Vingegaard,Team Visma | Lease a Bike,12
Edoardo Affini,Team Visma | Lease a Bike,5
Wilco Kelderman,Team Visma | Lease a Bike,6
Bart Lemmen,Team Visma | Lease a Bike,4
Alberto Bettiol,XDS Astana Team,6
Davide Ballerini,XDS Astana Team,5
Harold Martin Lopez,XDS Astana Team,4
Lorenzo Fortunato,XDS Astana Team,5
Christian Scaroni,XDS Astana Team,5
Diego Ulissi,XDS Astana Team,6
Edoardo Zambanini,Bahrain - Victorious,5
Matevz Govekar,Bahrain - Victorious,5
Damiano Caruso,Bahrain - Victorious,7
Afonso Eulalio,Bahrain - Victorious,4
Santiago Buitrago,Bahrain - Victorious,8
Alec Segaert,Bahrain - Victorious,5
Oliver Naesen,Decathlon CMA CGM Team,4
Tord Gudmestad,Decathlon CMA CGM Team,5
Tobias Lund Andresen,Decathlon CMA CGM Team,7
Gregor Muhlberger,Decathlon CMA CGM Team,5
Felix Gall,Decathlon CMA CGM Team,8
Frederik Wandahl,Red Bull - BORA - hansgrohe,4
Danny van Poppel,Red Bull - BORA - hansgrohe,6
Aleksandr Vlasov,Red Bull - BORA - hansgrohe,8
Jai Hindley,Red Bull - BORA - hansgrohe,9
Giulio Pellizzari,Red Bull - BORA - hansgrohe,6
Filippo Zana,Soudal Quick-Step,6
Mikel Landa,Soudal Quick-Step,8
Jasper Stuyven,Soudal Quick-Step,6
Paul Magnier,Soudal Quick-Step,8
Luka Mezgec,Team Jayco AlUla,4
Pascal Ackermann,Team Jayco AlUla,7
Filippo Conca,Team Jayco AlUla,3
Ben O'Connor,Team Jayco AlUla,9
Juan Pedro Lopez,Movistar Team,6
Nelson Oliveira,Movistar Team,4
Enric Mas,Movistar Team,9
Einer Rubio,Movistar Team,7
Derek Gee-West,Lidl - Trek,7
Jonathan Milan,Lidl - Trek,10
Thibau Nys,Lidl - Trek,8
Giulio Ciccone,Lidl - Trek,8
Richard Carapaz,EF Education - EasyPost,9
Darren Rafferty,EF Education - EasyPost,4
Michael Valgren,EF Education - EasyPost,5
Mathys Rondel,Tudor Pro Cycling Team,4
Marc Hirschi,Tudor Pro Cycling Team,8
Michael Storer,Tudor Pro Cycling Team,6
Elmar Reinders,Unibet Rose Rockets,4
Wout Poels,Unibet Rose Rockets,6
Dylan Groenewegen,Unibet Rose Rockets,9
Lorenzo Germani,Groupama - FDJ United,4
Clement Berthet,Groupama - FDJ United,5
Anders Skaarseth,Uno-X Mobility,4
Johannes Kulset,Uno-X Mobility,4
Max Poole,Team Picnic PostNL,7
Casper van Uden,Team Picnic PostNL,6
Lennert van Eetvelt,Lotto Intermarché,8
Liam Slock,Lotto Intermarché,4
Thymen Arensman,INEOS Grenadiers,8
Filippo Ganna,INEOS Grenadiers,8
Kaden Groves,Alpecin-Premier Tech,9
Francesco Busatto,Alpecin-Premier Tech,5
Mirco Maestri,Team Polti VisitMalta,4
