Naam	Team	Nationaliteit	Lengte	Gewicht	Leeftijd	AVG	FLT	COB	HLL	MTN	SPR	ITT	GC	OR	TTL
Tadej Pogačar	UAE Team Emirates-XRG	Slovenia	176 cm	66 kg	27 jaar	99	96	97	99	99	80	93	96	99	93
Jonas Vingegaard	Team Visma | Lease a Bike	Denmark	175 cm	58 kg	29 jaar	97	75	20	91	99	63	90	97	20	85
Remco Evenepoel	Red Bull-BORA-hansgrohe	Belgium	171 cm	63 kg	26 jaar	97	94	20	96	91	67	99	90	97	99
Mathieu van der Poel	Alpecin-Premier Tech	Netherlands	184 cm	75 kg	31 jaar	96	96	99	93	40	85	63	64	97	55
Mads Pedersen	Lidl-Trek	Denmark	180 cm	76 kg	30 jaar	96	95	99	91	47	92	79	62	96	58
Jasper Philipsen	Alpecin-Premier Tech	Belgium	176 cm	75 kg	27 jaar	95	94	93	79	38	99	29	49	95	20
João Almeida	UAE Team Emirates-XRG	Portugal	178 cm	63 kg	27 jaar	95	79	20	90	96	48	91	94	51	87
Isaac del Toro	UAE Team Emirates-XRG	Mexico	180 cm	64 kg	22 jaar	95	87	67	96	91	56	89	90	97	88
Tom Pidcock	Pinarello-Q36.5 Pro Cycling Team	Great Britain	170 cm	58 kg	26 jaar	94	80	87	95	91	68	45	90	94	32
Wout van Aert	Team Visma | Lease a Bike	Belgium	190 cm	78 kg	31 jaar	94	94	96	92	70	91	88	49	94	87
Jay Vine	UAE Team Emirates-XRG	Australia	184 cm	69 kg	30 jaar	93	90	20	83	90	44	95	82	89	94
Adam Yates	UAE Team Emirates-XRG	Great Britain	173 cm	58 kg	33 jaar	93	63	20	91	94	49	66	90	91	58
Filippo Ganna	INEOS Grenadiers	Italy	193 cm	83 kg	29 jaar	93	92	92	82	44	64	94	72	92	93
Primož Roglič	Red Bull-BORA-hansgrohe	Slovenia	177 cm	65 kg	36 jaar	93	79	20	91	94	54	90	92	85	86
Brandon McNulty	UAE Team Emirates-XRG	United States	183 cm	69 kg	27 jaar	93	88	43	93	86	60	91	89	92	90
Felix Gall	Decathlon CMA CGM Team	Austria	180 cm	66 kg	27 jaar	92	46	20	87	93	44	54	91	57	37
Mattias Skjelmose	Lidl-Trek	Denmark	180 cm	65 kg	25 jaar	92	82	20	94	87	58	83	86	94	75
Biniam Girmay	NSN Cycling Team	Eritrea	184 cm	70 kg	25 jaar	92	90	89	85	34	95	38	40	93	38
Arnaud De Lie	Lotto-Intermarché	Belgium	182 cm	78 kg	23 jaar	92	90	80	91	43	94	20	68	95	20
Tim Merlier	Soudal Quick-Step	Belgium	188 cm	76 kg	33 jaar	92	91	89	66	24	99	27	37	91	27
Matteo Jorgenson	Team Visma | Lease a Bike	United States	190 cm	69 kg	26 jaar	92	90	93	91	92	69	86	91	91	80
Paul Magnier	Soudal Quick-Step	France	187 cm	70 kg	21 jaar	91	90	90	83	32	93	28	40	94	20
Jonathan Milan	Lidl-Trek	Italy	194 cm	84 kg	25 jaar	91	91	87	74	26	96	59	38	91	32
Florian Lipowitz	Red Bull-BORA-hansgrohe	Germany	181 cm	68 kg	25 jaar	91	61	20	87	91	45	82	92	51	74
Juan Ayuso	Lidl-Trek	Spain	183 cm	65 kg	23 jaar	91	80	20	91	91	52	88	90	90	63
Ben O'Connor	Team Jayco-AlUla	Australia	188 cm	67 kg	30 jaar	91	64	20	90	91	48	69	90	84	65
Kévin Vauquelin	INEOS Grenadiers	France	176 cm	69 kg	24 jaar	91	72	43	93	84	61	86	89	90	81
Giulio Ciccone	Lidl-Trek	Italy	176 cm	58 kg	31 jaar	91	67	20	92	91	59	47	87	92	32
Oscar Onley	INEOS Grenadiers	Great Britain	173 cm	62 kg	23 jaar	91	60	20	91	91	57	59	91	80	44
Ben Healy	EF Education-EasyPost	Ireland	175 cm	62 kg	25 jaar	91	78	72	94	85	54	69	84	93	62
Mikel Landa	Soudal Quick-Step	Spain	172 cm	61 kg	36 jaar	90	52	56	88	91	46	54	90	74	54
Thymen Arensman	INEOS Grenadiers	Netherlands	190 cm	68 kg	26 jaar	90	66	20	87	91	40	88	88	62	88
Richard Carapaz	EF Education-EasyPost	Ecuador	170 cm	62 kg	32 jaar	90	52	31	87	90	52	47	90	75	43
Lenny Martinez	Bahrain Victorious	France	168 cm	52 kg	22 jaar	90	63	20	92	90	44	63	84	90	54
Tim Wellens	UAE Team Emirates-XRG	Belgium	182 cm	71 kg	34 jaar	90	88	92	91	63	55	67	76	91	45
Michael Storer	Tudor Pro Cycling Team	Australia	174 cm	63 kg	28 jaar	90	62	20	91	88	42	46	85	90	33
