Renner	Prijs	Team	OML	KBK	SAM	STR	NOK	BKC	MSR	RVB	E3	IFF	DDV	RVV	SP	PR	RVL	BRP	AGT	WAP	LBL	Races	Specialiteit
MIKUTIS Aivaras	2	Tudor Pro Cycling Team	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	TT
PLUIMERS Rick	4	Tudor Pro Cycling Team	0	1	0	0	0	0	1	0	1	0	1	1	0	0	0	0	1	0	0	5	Oneday
MORO Manlio	2	Movistar Team	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	Oneday
KELEMEN Petr	2	Tudor Pro Cycling Team	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	TT
DE JONG Timo	2	Team Picnic PostNL	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	Sprint
MAYER Alexandre	2	Burgos Burpellet BH	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	TT
BOUGLAS Georgios	2	Burgos Burpellet BH	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	Sprint
KRIJNSEN Jelte	3	Team Jayco AlUla	1	1	0	0	1	1	0	1	1	1	1	1	0	1	0	0	0	0	0	10	GC
GROVES Kaden	6	Alpecin-Premier Tech	1	1	1	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	7	Hills
PLANCKAERT Edward	3	Alpecin-Premier Tech	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	Oneday
KIRSCH Alex	3	Cofidis	1	1	0	0	0	0	1	1	0	1	1	1	0	1	0	0	0	0	0	8	TT
WELLENS Tim	6	UAE Team Emirates - XRG	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	3	GC
DE LIE Arnaud	6	Lotto Intermarché	1	1	0	0	0	0	0	1	0	1	1	1	0	1	0	0	0	0	0	6	Oneday
WRIGHT Fred	4	Pinarello Q36.5 Pro Cycling Team	1	1	0	0	0	0	1	0	1	1	1	1	0	1	0	0	0	0	0	7	Hills
TRONCHON Bastien	3	Groupama - FDJ United	1	1	0	1	0	0	0	0	1	1	1	1	0	1	0	0	0	0	0	7	Oneday
PEDERSEN Rasmus Søjberg	3	Decathlon CMA CGM Team	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	3	Sprint
VAN BOVEN Luca	3	Lotto Intermarché	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	3	Hills
BRUNEL Alexys	3	TotalEnergies	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	TT
BARTHE Cyril	3	Groupama - FDJ United	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	Hills
CAPIOT Amaury	3	Team Jayco AlUla	1	1	0	0	1	1	0	1	1	1	1	1	0	1	1	0	0	0	0	10	Oneday
MULLEN Ryan	2	NSN Cycling Team	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	TT
KMÍNEK Vojtěch	2	Burgos Burpellet BH	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Sprint
